burial,sex,cribra.total,site
57,M,0,Kanna
76,M,6,Kanna
74,M,0,Kanna
79,M,0,Kanna
71,M,2,Kanna
73,M,2,Kanna
80,M,0,Kanna
84,M,0,Kanna
81,M,0,Kanna
85,M,1,Kanna
3,M,1,Kanna
73,M,0,Kanna
5,M,0,Kanna
1,M,1,Kanna
9,M,0,Kanna
13,M,6,Kanna
86,M,2,Kanna
19,M,0,Kanna
20,M,2,Kanna
22,M,2,Kanna
88,M,0,Kanna
87,M,0,Kanna
27,M,0,Kanna
69,M,0,Kanna
66,M,0,Kanna
8,M,0,Kanna
15,M,0,Kanna
17,M,2,Kanna
4,M,0,Kanna
2,M,0,Kanna
3,M,0,Kanna
37,M,1,Kanna
38,M,0,Kanna
36,M,2,Kanna
34,M,0,Kanna
31,M,1,Kanna
No number,M,0,Kanna
18,M,4,Kanna
13,M,0,Kanna
19,M,0,Kanna
25,M,0,Kanna
26,M,2,Kanna
29,M,0,Kanna
27,M,0,Kanna
39,M,3,Kanna
23,M,1,Kanna
10,M,0,Kanna
12,M,0,Kanna
4,F,0,Kanna
68,F,0,Kanna
70,F,6,Kanna
77,F,0,Kanna
82,F,6,Kanna
6,F,0,Kanna
83,F,0,Kanna
10,F,0,Kanna
7,F,3,Kanna
8,F,0,Kanna
12,F,0,Kanna
18,F,5,Kanna
16,F,0,Kanna
26,F,0,Kanna
28,F,0,Kanna
35,F,0,Kanna
21,F,6,Kanna
20,F,3,Kanna
1,F,0,Kanna
5,F,3,Kanna
11,F,0,Kanna
10,F,0,Kanna
9,F,0,Kanna
12,F,0,Kanna
16,F,0,Kanna
1,F,0,Kanna
6,F,0,Kanna
20,F,0,Kanna
8,F,1,Kanna
15,F,0,Kanna
14,F,0,Kanna
25,F,1,Kanna
27,F,0,Kanna
11,NA,0,Kanna
17,NA,0,Kanna
25,NA,0,Kanna
14,NA,0,Kanna
7,NA,2,Kanna
25,NA,0,Kanna
30,NA,0,Kanna
36,NA,0,Kanna
18,M,0,Nagabaka
5,M,4,Nagabaka
27,M,3,Nagabaka
8,M,1,Nagabaka
13,M,0,Nagabaka
15,M,3,Nagabaka
16,M,0,Nagabaka
29,M,0,Nagabaka
28A,M,0,Nagabaka
23,M,6,Nagabaka
35,M,2,Nagabaka
73,M,0,Nagabaka
67,M,1,Nagabaka
36A,M,0,Nagabaka
37,M,0,Nagabaka
66,M,0,Nagabaka
63,M,0,Nagabaka
53,M,0,Nagabaka
51,M,0,Nagabaka
59,M,2,Nagabaka
58,M,0,Nagabaka
57,M,2,Nagabaka
50,M,0,Nagabaka
49,M,0,Nagabaka
S44,M,0,Nagabaka
S3,M,1,Nagabaka
48,M,1,Nagabaka
47,M,3,Nagabaka
46,M,0,Nagabaka
45,M,0,Nagabaka
40,M,0,Nagabaka
38,M,0,Nagabaka
C1,M,1,Nagabaka
C2,M,1,Nagabaka
C5,M,0,Nagabaka
C6,M,0,Nagabaka
S16,M,0,Nagabaka
S24,M,0,Nagabaka
S28,M,1,Nagabaka
S37,M,0,Nagabaka
S38,M,0,Nagabaka
S41,M,5,Nagabaka
NA,NA,NA,Nagabaka
NA,NA,NA,Nagabaka
NA,NA,NA,Nagabaka
65,F,0,Nagabaka
28,F,1,Nagabaka
62,F,4,Nagabaka
43,F,4,Nagabaka
42,F,4,Nagabaka
41,F,1,Nagabaka
61,F,0,Nagabaka
60,F,0,Nagabaka
56,F,0,Nagabaka
54,F,3,Nagabaka
33,F,1,Nagabaka
30,F,0,Nagabaka
36B,F,4,Nagabaka
S48,F,0,Nagabaka
S45,F,0,Nagabaka
S51,F,2,Nagabaka
S53,F,0,Nagabaka
S14,F,0,Nagabaka
S4,F,1,Nagabaka
3,F,0,Nagabaka
19,F,5,Nagabaka
21,F,0,Nagabaka
15A,F,1,Nagabaka
15B,F,0,Nagabaka
17,F,3,Nagabaka
72,F,0,Nagabaka
S??,F,0,Nagabaka
NA,NA,NA,Nagabaka
S30,NA,0,Nagabaka
S33,NA,0,Nagabaka
S35,NA,0,Nagabaka
S50,NA,5,Nagabaka
S20,NA,2,Nagabaka
S1,NA,1,Nagabaka
68,NA,0,Nagabaka
6,NA,0,Nagabaka
NA,NA,NA,Nagabaka
NA,NA,NA,Nagabaka
NA,NA,NA,Nagabaka
NA,NA,NA,Nagabaka
NA,NA,NA,Nagabaka
NA,NA,NA,Nagabaka
NA,NA,NA,Nagabaka
NA,NA,NA,Nagabaka
NA,NA,NA,Nagabaka
NA,NA,NA,Nagabaka
NA,NA,NA,Nagabaka
NA,NA,NA,Nagabaka
NA,NA,NA,Nagabaka
NA,NA,NA,Nagabaka
NA,NA,NA,Nagabaka
NA,NA,NA,Nagabaka
NA,NA,NA,Nagabaka
NA,NA,NA,Nagabaka
11,M,NA,Nagabaka
Kanjin 2-8,M,3,Yatchi
2-2,M,2,Yatchi
11-15,M,0,Yatchi
7 -2,M,1,Yatchi
11-29,M,0,Yatchi
4-21,M,0,Yatchi
11-3,M,0,Yatchi
2-5,M,4,Yatchi
2-10,M,3,Yatchi
9-14,M,0,Yatchi
9-8,M,0,Yatchi
9-14,M,3,Yatchi
11-36,M,3,Yatchi
11-22,M,1,Yatchi
11-42,M,6,Yatchi
13-9,M,4,Yatchi
Kanjin 2-13,M,5,Yatchi
10-33,M,1,Yatchi
6-11,M,2,Yatchi
6-10,M,6,Yatchi
3-7,M,4,Yatchi
Kanjin 2-11,M,4,Yatchi
11-5,M,6,Yatchi
2-30,M,3,Yatchi
Kanjin 2-32,M,0,Yatchi
Kanjin 7-23,M,1,Yatchi
Kanjin 7-22,M,4,Yatchi
Kanjin 1-6,M,6,Yatchi
Kanjin 7-31,M,1,Yatchi
Kanjin 1-8,M,4,Yatchi
11-11,M,2,Yatchi
7-6(2),F,3,Yatchi
11-42,F,3,Yatchi
Kanjin 2-30,F,0,Yatchi
Kanjin 2-9,F,2,Yatchi
Kanjin 2-16,F,2,Yatchi
11-5,F,1,Yatchi
12-11,F,0,Yatchi
1-3,F,4,Yatchi
6-3,F,0,Yatchi
13-3,F,2,Yatchi
2-28,F,0,Yatchi
11-36,F,2,Yatchi
11-11,F,0,Yatchi
11-21,F,0,Yatchi
11-17,F,2,Yatchi
Kanjin 1-4,F,0,Yatchi
11-34,F,0,Yatchi
9-14,F,0,Yatchi
10-19,F,6,Yatchi
10-7,F,2,Yatchi
6-10,F,6,Yatchi
7-6,F,6,Yatchi
7-12,F,0,Yatchi
Kanjin 2-11,F,6,Yatchi
Kanjin 2-14,F,0,Yatchi
Kanjin 2-20,F,2,Yatchi
Kanjin 2-32,F,2,Yatchi
Kanjin 2-30,F,6,Yatchi
Kanjin 2-37,F,4,Yatchi
11-14,F,4,Yatchi
2-5,F,1,Yatchi
8-14,F,6,Yatchi
Kanjin 2-18,F,1,Yatchi
Kanjin 2-19,F,0,Yatchi
Kanjin 8-1,F,0,Yatchi
1 - 1,F,0,Yatchi
Kanjin 1-8,F,2,Yatchi
9-15,F,0,Yatchi
