"","site","burial","sex","hypoplasia.frequency","calculus.frequency","attrition.average","hypoplasia.frequency.out","calculus.frequency.out"
"1","Kanna","1","F",0,0,5.66666666666667,0,0
"2","Kanna","10","M",0.333333333333333,0.666666666666667,5.33333333333333,0.333333333333333,0.666666666666667
"3","Kanna","10","F",0,0,15,0,0
"4","Kanna","11","F",0,1,12,0,1
"5","Kanna","12","M",1.66666666666667,0,4.66666666666667,NA,0
"6","Kanna","12","F",0,1,1.33333333333333,0,1
"7","Kanna","12","F",0,0,6,0,0
"8","Kanna","13","M",0,0.5,14.3333333333333,0,0.5
"9","Kanna","13","M",0,0,17,0,0
"10","Kanna","16","F",0.142857142857143,0.714285714285714,12.5714285714286,0.142857142857143,0.714285714285714
"11","Kanna","17","M",0,0,NA,0,0
"12","Kanna","17",NA,0,0,9.6,0,0
"13","Kanna","18","M",0,1,20,0,1
"14","Kanna","2","M",0.166666666666667,0,10.1666666666667,0.166666666666667,0
"15","Kanna","20","F",0,0,7,0,0
"16","Kanna","21","F",0,2,14.6,0,NA
"17","Kanna","25","F",0,0.25,10.25,0,0.25
"18","Kanna","25",NA,0.2,0,11.6,0.2,0
"19","Kanna","27","M",0,1,14,0,1
"20","Kanna","28","F",0,0,11,0,0
"21","Kanna","29","M",0.2,0.8,10.6,0.2,0.8
"22","Kanna","30(1)","F",0.166666666666667,0,0.666666666666667,0.166666666666667,0
"23","Kanna","31","M",1,1,8,1,1
"24","Kanna","36","M",0,1,14,0,1
"25","Kanna","4","F",0.7,0,8.9,0.7,0
"26","Kanna","5","F",0,0,3,0,0
"27","Kanna","5",NA,0.166666666666667,0.166666666666667,10.3333333333333,0.166666666666667,0.166666666666667
"28","Kanna","57","M",0.2,1.2,13,0.2,1.2
"29","Kanna","6","F",0,1,21,0,1
"30","Kanna","71","M",0,0,1,0,0
"31","Kanna","74","M",0,0,3,0,0
"32","Kanna","8","F",0,0.666666666666667,9,0,0.666666666666667
"33","Kanna","81","M",0,0,19.25,0,0
"34","Kanna","83","F",0.25,0,11.5,0.25,0
"35","Kanna","No number","M",0,1,6.5,0,1
"36","Nagabaka","??","M",NA,1,32,NA,1
"37","Nagabaka","?6","M",0,0,24,0,0
"38","Nagabaka","15","M",0,0.333333333333333,32,0,0.333333333333333
"39","Nagabaka","15B","F",0,0,14.75,0,0
"40","Nagabaka","15C","F",0,0,26,0,0
"41","Nagabaka","16","M",0.5,0,3.5,0.5,0
"42","Nagabaka","17","F",0,0,20,0,0
"43","Nagabaka","19","F",0,0,8,0,0
"44","Nagabaka","21","F",0,0,20,0,0
"45","Nagabaka","23","M",0,NA,14,0,NA
"46","Nagabaka","25","F",0,0,24,0,0
"47","Nagabaka","28","F",0.285714285714286,0,12.8571428571429,0.285714285714286,0
"48","Nagabaka","30","F",0.0909090909090909,0.0909090909090909,7.45454545454545,0.0909090909090909,0.0909090909090909
"49","Nagabaka","32","M",0,0.75,24.25,0,0.75
"50","Nagabaka","36B","F",0.5,0,17,0.5,0
"51","Nagabaka","37","M",0.2,0,12.2,0.2,0
"52","Nagabaka","39","M",0,0,16,0,0
"53","Nagabaka","41","F",1,0,4,1,0
"54","Nagabaka","42","F",0.142857142857143,0,12.1428571428571,0.142857142857143,0
"55","Nagabaka","45","M",0.25,0,19,0.25,0
"56","Nagabaka","46","M",0.5,0.5,24,0.5,0.5
"57","Nagabaka","47","M",0,0,NA,0,0
"58","Nagabaka","53","M",NA,0,39,NA,0
"59","Nagabaka","58","M",0.5,0,19,0.5,0
"60","Nagabaka","59","M",0,0,32,0,0
"61","Nagabaka","60","F",1,1,12,1,1
"62","Nagabaka","61","F",0,0.2,14.4,0,0.2
"63","Nagabaka","62","F",0,0,8.33333333333333,0,0
"64","Nagabaka","65","F",0,0,35.5,0,0
"65","Nagabaka","67","M",0,0,9.2,0,0
"66","Nagabaka","69","F",0,0,24,0,0
"67","Nagabaka","72","F",0.333333333333333,0,5.33333333333333,0.333333333333333,0
"68","Nagabaka","73","M",0,0.428571428571429,20.8571428571429,0,0.428571428571429
"69","Nagabaka","S16","M",0,0,9.66666666666667,0,0
"70","Nagabaka","S19",NA,NA,1,22,NA,1
"71","Nagabaka","S24","M",0,0,NA,0,0
"72","Nagabaka","S28","M",NA,1,14.3333333333333,NA,1
"73","Nagabaka","S3","M",0.25,0.625,18.5,0.25,0.625
"74","Nagabaka","S30",NA,0,0,12,0,0
"75","Nagabaka","S34","M",NA,0,10,NA,0
"76","Nagabaka","S35",NA,NA,NA,NA,NA,NA
"77","Nagabaka","S41","M",0,0,10,0,0
"78","Nagabaka","S43","F",0,0,8,0,0
"79","Nagabaka","S46","F",0,0,12,0,0
"80","Nagabaka","S48","F",0.5,0.25,14.75,0.5,0.25
"81","Nagabaka","S50",NA,0.2,0,13.2,0.2,0
"82","Nagabaka","S53","F",0,0.5,12,0,0.5
"83","Nagabaka","S56","M",NA,NA,21.2,NA,NA
"84","Nagabaka","S9","M",0,0,12,0,0
"85","Yatchi","1 - 1","F",0.166666666666667,0.333333333333333,4.33333333333333,0.166666666666667,0.333333333333333
"86","Yatchi","10-33","M",0.428571428571429,NA,5.85714285714286,0.428571428571429,NA
"87","Yatchi","10-7","F",NA,NA,24,NA,NA
"88","Yatchi","11-11","M",NA,NA,9,NA,NA
"89","Yatchi","11-11","F",0.6,NA,5,0.6,NA
"90","Yatchi","11-14","F",0.0714285714285714,0.285714285714286,5.5,0.0714285714285714,0.285714285714286
"91","Yatchi","11-15","M",0.333333333333333,1,5.66666666666667,0.333333333333333,1
"92","Yatchi","11-17","F",0,NA,3,0,NA
"93","Yatchi","11-21","F",0.5,1.5,5.5,0.5,1.5
"94","Yatchi","11-22","M",0.461538461538462,0.307692307692308,3,0.461538461538462,0.307692307692308
"95","Yatchi","11-29","M",0.2,NA,2.8,0.2,NA
"96","Yatchi","11-3","M",0.75,0.125,3,0.75,0.125
"97","Yatchi","11-36","F",0.166666666666667,0,3.75,0.166666666666667,0
"98","Yatchi","11-5","M",0.5,NA,3.9,0.5,NA
"99","Yatchi","13-3","F",0.5,0.857142857142857,5.21428571428571,0.5,0.857142857142857
"100","Yatchi","13-9","M",0.4,0,6.8,0.4,0
"101","Yatchi","2-2","M",0.2,0.8,8.8,0.2,0.8
"102","Yatchi","2-5","M",0.25,0.25,2.5,0.25,0.25
"103","Yatchi","2-5","F",0,NA,3.66666666666667,0,NA
"104","Yatchi","6-11","M",0.272727272727273,NA,7,0.272727272727273,NA
"105","Yatchi","6-3","F",0,NA,13,0,NA
"106","Yatchi","6-6","F",0.2,0,8.2,0.2,0
"107","Yatchi","7-6(2)","F",0.111111111111111,0.888888888888889,7.11111111111111,0.111111111111111,0.888888888888889
"108","Yatchi","7 -2","M",0.5,1,7.2,0.5,1
"109","Yatchi","8-14","F",0.272727272727273,1.27272727272727,6.27272727272727,0.272727272727273,1.27272727272727
"110","Yatchi","9-14","M",0,NA,5.33333333333333,0,NA
"111","Yatchi","9-14","M",0.5,NA,4,0.5,NA
"112","Yatchi","9-15","F",0,0.1,8,0,0.1
"113","Yatchi","Kanjin 1-6","M",0.1,NA,9.2,0.1,NA
"114","Yatchi","Kanjin 1-8","M",1,NA,3,1,NA
"115","Yatchi","Kanjin 1-8","F",0.3,0.1,4.2,0.3,0.1
"116","Yatchi","Kanjin 2-11","M",0.555555555555556,NA,6.44444444444444,0.555555555555556,NA
"117","Yatchi","Kanjin 2-11","F",0.2,NA,5.6,0.2,NA
"118","Yatchi","Kanjin 2-13","M",0.3,0.7,8.2,0.3,0.7
"119","Yatchi","Kanjin 2-14","F",0.285714285714286,NA,9.85714285714286,0.285714285714286,NA
"120","Yatchi","Kanjin 2-16","F",0.428571428571429,0.571428571428571,6.85714285714286,0.428571428571429,0.571428571428571
"121","Yatchi","Kanjin 2-18","F",0.133333333333333,0.133333333333333,6.4,0.133333333333333,0.133333333333333
"122","Yatchi","Kanjin 2-19","F",0.5,0,3.5,0.5,0
"123","Yatchi","Kanjin 2-30","F",0,0,5.25,0,0
"124","Yatchi","Kanjin 2-32","M",0.0909090909090909,1.45454545454545,7.27272727272727,0.0909090909090909,1.45454545454545
"125","Yatchi","Kanjin 2-37","M",0,NA,5.25,0,NA
"126","Yatchi","Kanjin 2-8","M",0.5,NA,3.75,0.5,NA
"127","Yatchi","Kanjin 2-9","F",0.1,NA,7.6,0.1,NA
"128","Yatchi","Kanjin 7-22","M",0,0,6.4,0,0
"129","Yatchi","Kanjin 7-23","M",0,0.4,3.6,0,0.4
"130","Yatchi","Kanjin 7-31","M",0,NA,3.57142857142857,0,NA
"131","Yatchi","Kanjin 8-1","F",0,0,7.8,0,0
"132","Yatchi","Yatchi 11-42","F",0,0.2,6.6,0,0.2
