Burial ,Sex,Cribra Total
18,M,0
5,M,4
27,M,3
8,M,1
13,M,0
15,M,3
16,M,0
29,M,0
28A,M,0
23,M,6
35,M,2
73,M,0
67,M,1
36A,M,0
37,M,0
66,M,0
63,M,0
53,M,0
51,M,0
59,M,2
58,M,0
57,M,2
50,M,0
49,M,0
S44,M,0
S3,M,1
48,M,1
47,M,3
46,M,0
45,M,0
40,M,0
38,M,0
C1,M,1
C2,M,1
C5,M,0
C6,M,0
S16,M,0
S24,M,0
S28,M,1
S37,M,0
S38,M,0
S41,M,5
,,
,,
,,
65,F,0
28,F,1
62,F,4
43,F,4
42,F,4
41,F,1
61,F,0
60,F,0
56,F,0
54,F,3
33,F,1
30,F,0
36B,F,4
S48,F,0
S45,F,0
S51,F,2
S53,F,0
S14,F,0
S4,F,1
3,F,0
19,F,5
21,F,0
15A,F,1
15B,F,0
17,F,3
72,F,0
S??,F,0
,,
S30,?,0
S33,?,0
S35,?,0
S50,?,5
S20,?,2
S1,?,1
68,?,0
6,?,0
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
11,M,
